time_index,loudness_zwtv_target,loudness_zwtv_pred,sharpness_din_tv_target,sharpness_din_tv_pred,roughness_dw_target,roughness_dw_pred,tnr_ecma_perseg_target,tnr_ecma_perseg_pred,sii_ansi_target,sii_ansi_pred
0,0.0030265935,-0.028893244,,,0.11833866,0.056570012,0.0,6.1085877,0.0,0.28567702
1,1.1565984,0.5806669,,,0.39195448,0.05817773,0.0,4.284575,,
2,3.1772687,1.8085577,,,0.30346584,0.058528498,,,,
3,5.269784,2.9064896,,,0.46943277,0.0582652,,,,
4,7.3676376,3.7451396,,,0.3258677,0.059994813,,,,
5,8.720741,4.377401,4.430905,2.8707304,0.31858948,0.060607955,,,,
6,9.542758,4.862452,4.156798,2.5759153,0.43099964,0.057839867,,,,
7,10.736706,5.243703,4.0709405,2.3831272,0.14308879,0.060557634,,,,
8,11.923053,5.5533075,3.8425062,2.2531524,0.17486621,0.05742188,,,,
9,13.247493,5.8141413,3.9134867,2.157705,,,,,,
10,15.016588,6.0385203,3.7923875,2.0761068,,,,,,
11,15.980725,6.235325,3.027786,2.0112736,,,,,,
12,16.078989,6.4114842,2.6664212,1.9586806,,,,,,
13,15.978105,6.5708814,2.8189692,1.9094249,,,,,,
14,15.746916,6.7180867,2.72034,1.864035,,,,,,
15,15.8655615,6.8554797,2.7374732,1.8237606,,,,,,
16,16.181978,6.984444,2.814664,1.7901186,,,,,,
17,17.027243,7.1070604,3.0382113,1.758019,,,,,,
18,18.320944,7.2241983,2.9423625,1.7279747,,,,,,
19,18.868494,7.336423,2.4130313,1.697896,,,,,,
20,18.774841,7.4444914,2.9028456,1.6704843,,,,,,
21,19.627565,7.5476685,3.025798,1.6523658,,,,,,
22,20.016071,7.647671,2.7608259,1.6299262,,,,,,
23,20.228792,7.7439914,2.4197674,1.6054493,,,,,,
24,20.033092,7.836294,2.157305,1.5864903,,,,,,
25,19.498217,7.9263926,2.077295,1.5695367,,,,,,
26,19.04807,8.013903,2.1224244,1.5518422,,,,,,
27,18.477432,8.099671,2.0518692,1.5383903,,,,,,
28,18.425713,8.18341,2.2551236,1.5246322,,,,,,
29,18.279701,8.265044,1.9369949,1.5097044,,,,,,
30,18.042273,8.345018,1.9708959,1.4949796,,,,,,
31,18.1526,8.422953,1.8986386,1.4774226,,,,,,
32,18.015984,8.497904,2.0272279,1.4645164,,,,,,
33,18.136166,8.570849,2.2102442,1.4503105,,,,,,
34,18.381392,8.642938,2.2950373,1.4400789,,,,,,
35,18.59354,8.713611,2.1954787,1.4283845,,,,,,
36,18.978598,8.782551,2.071604,1.4165409,,,,,,
37,19.52318,8.848221,2.2357519,1.4037166,,,,,,
38,20.453014,8.911065,2.291469,1.391672,,,,,,
39,20.814226,8.969981,1.9092311,1.37934,,,,,,
40,20.452393,9.026835,1.7890903,1.3730029,,,,,,
41,20.04723,9.082817,1.8883321,1.3628426,,,,,,
42,20.092808,9.138081,2.0664387,1.3545284,,,,,,
43,20.322104,9.192485,2.110162,1.3479942,,,,,,
44,20.237238,9.245508,1.8247017,1.3390603,,,,,,
45,20.26463,9.296605,2.0302505,1.3327593,,,,,,
46,20.55447,9.347164,2.0662937,1.3281298,,,,,,
47,20.870523,9.395681,2.0203898,1.3208548,,,,,,
48,20.958155,9.44313,1.9709862,1.3144213,,,,,,
49,21.183685,9.489313,2.0449471,1.3087502,,,,,,
50,21.043577,9.535486,1.8402194,1.3039954,,,,,,
51,20.645262,9.580795,1.8656654,1.3032628,,,,,,
52,19.983759,9.624838,1.6911098,1.296873,,,,,,
53,19.674246,9.667591,1.8006096,1.2914057,,,,,,
54,19.547709,9.708573,1.8623215,1.2866588,,,,,,
55,19.388556,9.748726,1.7866176,1.2786413,,,,,,
56,19.693193,9.788125,2.0702014,1.2745353,,,,,,
57,20.658657,9.82647,2.1097772,1.2715809,,,,,,
58,20.990818,9.863525,1.9452292,1.2645127,,,,,,
59,20.926228,9.8988,1.7659264,1.2588938,,,,,,
60,20.836287,9.933115,2.0067391,1.2574288,,,,,,
61,20.951323,9.967158,1.9389515,1.2527701,,,,,,
62,20.69772,10.0003395,1.7516279,1.2473049,,,,,,
63,20.281271,10.032485,1.6399976,1.2422327,,,,,,
64,19.942928,10.063604,1.6268243,1.2405715,,,,,,
65,19.97918,10.093564,2.0372427,1.2384372,,,,,,
66,20.219324,10.122484,2.115689,1.2349203,,,,,,
67,20.525448,10.149872,1.8990371,1.2269965,,,,,,
68,20.323435,10.174568,1.6507585,1.2234966,,,,,,
69,20.170238,10.198813,1.8509573,1.2177504,,,,,,
70,20.465607,10.222745,1.9421654,1.214834,,,,,,
71,20.47409,10.246107,1.8207222,1.2143644,,,,,,
72,20.127525,10.268345,1.75632,1.2104394,,,,,,
73,19.71558,10.290532,1.6945176,1.2060593,,,,,,
74,19.880009,10.312653,2.3823645,1.2038059,,,,,,
75,21.386478,10.334005,2.58144,1.2018133,,,,,,
76,22.321825,10.354814,2.0583012,1.1975211,,,,,,
77,22.851477,10.374918,2.2717488,1.1956297,,,,,,
78,23.9024,10.394044,2.1617496,1.1911603,,,,,,
79,24.066547,10.411987,2.033492,1.1902852,,,,,,
80,23.74538,10.429561,1.9485271,1.1871254,,,,,,
81,23.71467,10.44656,1.9971228,1.1856885,,,,,,
82,23.901707,10.464215,1.9017683,1.1836425,,,,,,
83,23.755405,10.480973,1.8009473,1.1798075,,,,,,
84,23.26063,10.497462,1.7064978,1.1786696,,,,,,
85,23.009642,10.513267,1.7235681,1.176556,,,,,,
86,23.341951,10.528918,1.8615856,1.1773444,,,,,,
87,23.739796,10.544785,1.7299682,1.1748071,,,,,,
88,23.77528,10.560518,1.6490161,1.1723952,,,,,,
89,23.52622,10.575057,1.5958288,1.1691324,,,,,,
90,22.913618,10.589685,1.4862243,1.1697557,,,,,,
91,22.215487,10.604628,1.6473963,1.1670558,,,,,,
92,22.03364,10.61811,1.7192228,1.1640173,,,,,,
93,21.99877,10.631131,1.6713918,1.16308,,,,,,
94,21.843395,10.644172,1.7036016,1.1669117,,,,,,
95,21.89434,10.656726,1.8577012,1.162109,,,,,,
96,22.04329,10.668062,1.9839183,1.1620789,,,,,,
97,21.839106,10.678276,1.8490552,1.1575501,,,,,,
98,22.140205,10.688206,1.9129665,1.1572763,,,,,,
99,22.283901,10.698396,1.5997678,1.1596344,,,,,,
100,22.157019,10.708589,1.6818175,1.1531409,,,,,,
101,22.194923,10.719281,1.9055794,1.1537968,,,,,,
102,23.69106,10.729944,2.796955,1.152815,,,,,,
103,25.218163,10.740034,2.3899,1.1495603,,,,,,
104,25.485039,10.749975,2.0955417,1.150229,,,,,,
105,25.649824,10.759888,2.120363,1.1500118,,,,,,
106,26.031338,10.769367,1.9963932,1.150604,,,,,,
107,25.778759,10.779435,1.7817979,1.1493434,,,,,,
108,25.258232,10.788161,1.8573155,1.1453031,,,,,,
109,25.362593,10.796973,2.2624047,1.1469108,,,,,,
110,26.275085,10.8045435,2.569365,1.1436515,,,,,,
111,26.766605,10.812613,2.1163318,1.143092,,,,,,
112,26.485693,10.820579,1.8378226,1.1410594,,,,,,
113,25.959124,10.828812,2.1451495,1.1444097,,,,,,
114,26.141256,10.837346,2.3345492,1.1438566,,,,,,
115,26.112196,10.8467865,2.087074,1.1430814,,,,,,
116,25.870502,10.855949,1.8821971,1.1426743,,,,,,
117,25.39902,10.864554,1.6869951,1.1423914,,,,,,
118,24.603985,10.872154,1.587737,1.1431868,,,,,,
119,24.034004,10.879217,1.5188072,1.1422029,,,,,,
120,23.720678,10.887258,1.567674,1.1407808,,,,,,
121,24.030241,10.895459,1.7534215,1.1402366,,,,,,
122,24.385557,10.902922,1.7501824,1.138713,,,,,,
123,24.413204,10.909463,1.6719694,1.140219,,,,,,
124,24.325405,10.915703,1.5344555,1.138648,,,,,,
125,24.294464,10.92225,1.5187749,1.1368064,,,,,,
126,24.665106,10.928773,1.9720148,1.136624,,,,,,
127,25.740088,10.9340925,2.0364766,1.1333126,,,,,,
128,26.062681,10.938879,1.7350457,1.1327865,,,,,,
129,25.997746,10.943742,1.7371364,1.1327227,,,,,,
130,26.036392,10.948139,1.596075,1.1311971,,,,,,
131,25.637756,10.952949,1.5305679,1.131422,,,,,,
132,25.153269,10.957759,1.5371681,1.132514,,,,,,
133,24.870613,10.96156,1.6941723,1.1320841,,,,,,
134,24.506838,10.965974,1.6899399,1.1331367,,,,,,
135,23.986452,10.969929,1.5412588,1.1346813,,,,,,
136,23.265846,10.972986,1.5608366,1.1318847,,,,,,
137,22.921793,10.976915,1.617809,1.1328764,,,,,,
138,22.953943,10.98043,2.1376443,1.1305038,,,,,,
139,23.289394,10.984791,1.9155576,1.1325289,,,,,,
140,23.419561,10.99006,1.6499718,1.135234,,,,,,
141,23.398365,10.993818,1.5163186,1.1321411,,,,,,
142,23.184116,10.998486,1.4403108,1.1296072,,,,,,
143,23.150686,11.003659,1.7757556,1.1331104,,,,,,
144,23.591318,11.009185,1.7817743,1.1316674,,,,,,
145,23.440641,11.014824,1.4676458,1.130771,,,,,,
146,22.992111,11.0204,1.4349132,1.1312664,,,,,,
147,22.866447,11.025419,1.6242592,1.1323922,,,,,,
148,22.776176,11.030321,1.6751615,1.1307268,,,,,,
149,22.712486,11.034376,1.7867905,1.1299803,,,,,,
150,22.740055,11.03754,1.8764905,1.1292335,,,,,,
151,22.770967,11.0396385,1.6911597,1.1275424,,,,,,
152,22.69171,11.041699,1.8929818,1.1270503,,,,,,
153,23.046183,11.043826,2.0531332,1.1290308,,,,,,
154,23.51949,11.047207,1.9060019,1.1298285,,,,,,
155,23.82233,11.051555,1.7552875,1.1307657,,,,,,
156,23.783546,11.05553,1.7797011,1.1294463,,,,,,
157,23.83312,11.058962,1.75401,1.1269841,,,,,,
158,23.637592,11.0611,1.6677301,1.1238135,,,,,,
159,23.730501,11.063165,2.171646,1.1253344,,,,,,
160,24.254496,11.066338,2.1926706,1.1264846,,,,,,
161,24.495876,11.070878,2.0284429,1.1286741,,,,,,
162,24.684757,11.075105,1.9452187,1.1281028,,,,,,
163,26.261631,11.079339,3.3630097,1.1294135,,,,,,
164,27.619831,11.083997,2.5891147,1.1269429,,,,,,
165,27.720205,11.088151,2.0616107,1.1305876,,,,,,
166,27.344072,11.092363,1.7867699,1.1313015,,,,,,
167,27.001137,11.096581,1.8215294,1.1325747,,,,,,
168,26.837118,11.100299,1.8584183,1.1285775,,,,,,
169,26.763561,11.103132,1.8692199,1.1274405,,,,,,
170,26.361258,11.104948,1.6874254,1.1271671,,,,,,
171,25.608227,11.106231,1.5978982,1.1294022,,,,,,
172,25.005854,11.108356,1.669176,1.128255,,,,,,
173,24.990614,11.110703,1.9534886,1.1291038,,,,,,
174,25.200197,11.113981,1.7957401,1.1265805,,,,,,
175,25.460217,11.117221,2.4312441,1.1272663,,,,,,
176,25.790825,11.119351,2.2612944,1.1257896,,,,,,
177,25.681194,11.121554,1.9549927,1.1264281,,,,,,
178,25.342781,11.122947,1.7271234,1.1275347,,,,,,
179,25.134197,11.124308,1.7790201,1.1258303,,,,,,
180,25.214373,11.125855,2.0357194,1.1264788,,,,,,
181,25.777908,11.127833,2.3814018,1.1253934,,,,,,
182,26.473433,11.129441,1.9976606,1.123205,,,,,,
183,26.33204,11.131777,1.7678314,1.1234857,,,,,,
184,26.360083,11.132993,1.8854886,1.1242895,,,,,,
185,26.525976,11.13446,1.7164079,1.1237999,,,,,,
186,26.442133,11.135887,1.6950784,1.1242275,,,,,,
187,26.386955,11.138619,1.6693317,1.127028,,,,,,
188,26.209188,11.141568,1.5845762,1.1276491,,,,,,
189,26.260084,11.145112,1.8184066,1.1252716,,,,,,
190,26.462044,11.14843,1.6898346,1.1256086,,,,,,
191,26.628477,11.150538,1.7266127,1.1272979,,,,,,
192,27.052832,11.152069,2.169877,1.1249068,,,,,,
193,27.262291,11.1537695,2.0010564,1.1268731,,,,,,
194,26.979225,11.15586,1.6971947,1.1281034,,,,,,
195,26.662992,11.158153,1.6067883,1.1273717,,,,,,
196,26.642704,11.159674,1.7237508,1.1255499,,,,,,
197,26.99262,11.161015,1.9441451,1.1248498,,,,,,
198,27.66918,11.162911,1.8463659,1.1244992,,,,,,
199,27.485708,11.163773,1.5518827,1.1241227,,,,,,
200,26.87487,11.1656,1.4666858,1.1253994,,,,,,
201,26.131285,11.167223,1.4040893,1.1280677,,,,,,
202,25.292278,11.168565,1.4040121,1.1254096,,,,,,
203,24.799625,11.1706,1.7516574,1.1247505,,,,,,
204,25.438663,11.172253,2.067353,1.1247406,,,,,,
205,26.24411,11.174803,2.0832078,1.1253883,,,,,,
206,27.053585,11.17647,1.9267749,1.126401,,,,,,
207,27.53906,11.1785145,1.7035514,1.123305,,,,,,
208,27.540829,11.180214,1.8606817,1.1225975,,,,,,
209,27.573193,11.182217,1.8520459,1.1234243,,,,,,
210,27.496622,11.184089,1.6923659,1.1233989,,,,,,
211,27.125177,11.185202,1.7139266,1.1232011,,,,,,
212,27.226217,11.1872835,1.839959,1.1263596,,,,,,
213,28.441698,11.188456,1.9919888,1.1239848,,,,,,
214,29.11953,11.190335,1.6591394,1.1257272,,,,,,
215,28.540451,11.191006,1.5859598,1.1262815,,,,,,
216,27.881046,11.191399,1.6744373,1.1258879,,,,,,
217,27.895103,11.19179,2.030028,1.1269944,,,,,,
218,27.66819,11.192152,1.7217036,1.1270412,,,,,,
219,27.22315,11.192552,1.630049,1.1256794,,,,,,
220,27.250336,11.194096,1.6121545,1.128157,,,,,,
221,27.244091,11.195052,1.6529634,1.1239476,,,,,,
222,27.436323,11.197414,2.31298,1.125495,,,,,,
223,29.104221,11.197886,2.5138583,1.1236423,,,,,,
224,30.608232,11.197853,2.019993,1.1225449,,,,,,
225,30.446718,11.1983,1.6412141,1.1244411,,,,,,
226,29.123262,11.198834,1.5294881,1.1248649,,,,,,
227,27.799816,11.1995125,1.4824002,1.125111,,,,,,
228,27.007917,11.199888,1.6038377,1.1243986,,,,,,
229,26.386763,11.201933,1.5411593,1.1261456,,,,,,
230,25.987564,11.203356,1.6518925,1.1241148,,,,,,
231,25.994328,11.203551,1.8819501,1.123657,,,,,,
232,26.147318,11.2040615,1.8275583,1.1235934,,,,,,
233,26.24604,11.204693,1.7455609,1.1265965,,,,,,
234,26.383574,11.205862,1.8826104,1.1275698,,,,,,
235,26.351004,11.207857,1.6100972,1.1293796,,,,,,
236,25.82226,11.2097025,1.5796571,1.1294779,,,,,,
237,25.436733,11.210491,1.7231044,1.1282802,,,,,,
238,25.25985,11.210026,1.7642143,1.1269615,,,,,,
239,25.177717,11.20943,1.7393104,1.1242137,,,,,,
240,25.145428,11.208502,1.9078302,1.1210499,,,,,,
241,25.657923,11.208643,2.0670414,1.1232039,,,,,,
242,26.830608,11.209673,2.1654854,1.1243966,,,,,,
243,28.389315,11.209884,2.030331,1.1241417,,,,,,
244,29.112967,11.209673,1.9076412,1.127297,,,,,,
245,28.988565,11.209678,1.646205,1.1281259,,,,,,
246,28.374323,11.210071,1.499852,1.1245567,,,,,,
247,27.361578,11.21036,1.3800598,1.1236079,,,,,,
248,26.349281,11.210282,1.4324839,1.1248544,,,,,,
249,25.66902,11.210477,1.522162,1.1270267,,,,,,
250,25.54251,11.20953,1.7026067,1.1285871,,,,,,
251,25.698305,11.20812,1.6021267,1.124767,,,,,,
252,25.693579,11.207231,1.581875,1.1277685,,,,,,
253,25.28922,11.207175,1.3825058,1.127905,,,,,,
254,24.73502,11.208589,1.4820822,1.1263857,,,,,,
255,24.801104,11.211078,1.5882292,1.1282961,,,,,,
256,25.032717,11.21433,1.71596,1.1313334,,,,,,
257,25.129128,11.2175045,1.6208593,1.1317253,,,,,,
258,24.786144,11.219919,1.6773986,1.1281304,,,,,,
259,24.633972,11.221901,1.9498878,1.1279356,,,,,,
260,24.881481,11.22318,1.7806396,1.1265799,,,,,,
261,24.782566,11.224412,1.6626881,1.1250638,,,,,,
262,24.549547,11.225085,1.5123614,1.1257007,,,,,,
263,24.342289,11.225135,1.6201397,1.1244614,,,,,,
264,24.700058,11.22576,1.6704626,1.1240797,,,,,,
265,24.918636,11.227754,1.6369541,1.1235867,,,,,,
266,25.309277,11.228965,1.6288192,1.1231947,,,,,,
267,25.52334,11.229642,1.6574597,1.1240883,,,,,,
268,25.751228,11.2298355,1.6619363,1.124577,,,,,,
269,25.443737,11.230897,1.5600108,1.1236103,,,,,,
270,25.152548,11.231754,1.6359109,1.124765,,,,,,
271,25.04489,11.232905,1.7866647,1.1239227,,,,,,
272,24.66869,11.234236,1.6129296,1.1260685,,,,,,
273,24.111303,11.235951,1.6020046,1.1265393,,,,,,
274,23.962908,11.237227,1.6778568,1.1240475,,,,,,
275,24.068453,11.239409,1.6331129,1.1230767,,,,,,
276,24.209665,11.24124,1.5979903,1.1224381,,,,,,
277,24.34132,11.243157,1.5211467,1.123812,,,,,,
278,24.301605,11.245036,1.6301043,1.1228224,,,,,,
279,24.171982,11.246381,1.7344579,1.1240723,,,,,,
280,24.080679,11.248062,1.6411513,1.1220611,,,,,,
281,24.241932,11.249076,1.5932989,1.1233038,,,,,,
282,24.609861,11.250373,1.7117392,1.1237973,,,,,,
283,24.726938,11.25065,1.8545548,1.121678,,,,,,
284,24.588886,11.252854,1.860334,1.1216589,,,,,,
285,24.993248,11.253807,1.9103767,1.1193358,,,,,,
286,25.39155,11.253792,1.7866677,1.1202223,,,,,,
287,25.654036,11.25451,1.8736652,1.121434,,,,,,
288,25.908154,11.254697,1.7892181,1.119983,,,,,,
289,26.221716,11.254726,1.8993881,1.122662,,,,,,
290,26.413671,11.254973,1.8950744,1.1196684,,,,,,
291,26.510378,11.255179,1.8740748,1.1189244,,,,,,
292,26.82288,11.255156,2.1095653,1.1203924,,,,,,
293,26.933733,11.25581,1.8483894,1.1203252,,,,,,
294,26.835018,11.255765,1.876034,1.1244829,,,,,,
295,26.622347,11.255995,1.83121,1.1217029,,,,,,
296,26.476944,11.256301,1.781954,1.1246972,,,,,,
297,26.612488,11.255442,1.7581106,1.1209502,,,,,,
298,26.510056,11.25476,1.7228143,1.120566,,,,,,
299,26.651207,11.255151,1.9961972,1.1194581,,,,,,
300,27.680529,11.255456,2.5756116,1.1218096,,,,,,
301,28.214493,11.256673,2.4073362,1.1231624,,,,,,
302,28.238058,11.257322,2.1218755,1.1221867,,,,,,
303,27.986784,11.257865,1.869175,1.1196637,,,,,,
304,27.583769,11.258932,1.7396344,1.1205912,,,,,,
