time_index,loudness_zwtv,sharpness_din_tv,roughness_dw,tnr_ecma_perseg,sii_ansi
0,0.0012865261,0.0,0.11402034,6.149561,0.20776846
1,0.6110262,1.9177125,0.11561764,4.3255577,
2,1.838855,1.6459726,0.11599396,,
3,2.9367692,1.2670722,0.1155636,,
4,3.7756705,1.0573008,0.1174153,,
5,4.4079733,2.9154823,0.11802535,,
6,4.8925886,2.6206663,0.11526057,,
7,5.274079,2.4279716,0.11800817,,
8,5.5838776,2.298637,0.11488803,,
9,5.844493,2.2022228,,,
10,6.0690312,2.1207197,,,
11,6.2657757,2.0555103,,,
12,6.4416375,2.0029554,,,
13,6.6013,1.9536402,,,
14,6.748475,1.9087727,,,
15,6.8858266,1.8687961,,,
16,7.0149055,1.8350297,,,
17,7.1372943,1.8023417,,,
18,7.2547293,1.7721846,,,
19,7.367066,1.7437348,,,
20,7.474721,1.7159393,,,
21,7.577902,1.6973394,,,
22,7.6778607,1.6743351,,,
23,7.7743897,1.6497529,,,
24,7.8669477,1.6312194,,,
25,7.956767,1.6137165,,,
26,8.044221,1.596265,,,
27,8.130079,1.5826241,,,
28,8.213763,1.5689595,,,
29,8.295526,1.5540575,,,
30,8.375453,1.5389357,,,
31,8.453504,1.5219222,,,
32,8.528165,1.5088707,,,
33,8.601016,1.494621,,,
34,8.67302,1.484564,,,
35,8.743974,1.4721421,,,
36,8.812885,1.4613906,,,
37,8.878593,1.4479796,,,
38,8.94136,1.4354229,,,
39,9.000339,1.4236264,,,
40,9.0570345,1.4170613,,,
41,9.113191,1.4072157,,,
42,9.168456,1.398793,,,
43,9.2228155,1.3918906,,,
44,9.275915,1.3835042,,,
45,9.327143,1.3769963,,,
46,9.377412,1.3724004,,,
47,9.426154,1.3654513,,,
48,9.473528,1.3583165,,,
49,9.519848,1.3530123,,,
50,9.565829,1.3479726,,,
51,9.611116,1.3474435,,,
52,9.65532,1.3408661,,,
53,9.697905,1.3357782,,,
54,9.73914,1.3310416,,,
55,9.779165,1.3230813,,,
56,9.818502,1.3188804,,,
57,9.857011,1.3157436,,,
58,9.893965,1.3088801,,,
59,9.929163,1.3029844,,,
60,9.963388,1.3014985,,,
61,9.997583,1.2965872,,,
62,10.030845,1.2914264,,,
63,10.062873,1.2864692,,,
64,10.093838,1.2844542,,,
65,10.124025,1.2827197,,,
66,10.152895,1.2788986,,,
67,10.18011,1.2708459,,,
68,10.20503,1.2676758,,,
69,10.229266,1.2621402,,,
70,10.253292,1.2589664,,,
71,10.276242,1.2580756,,,
72,10.298813,1.2548554,,,
73,10.320873,1.2512547,,,
74,10.343023,1.2479461,,,
75,10.364522,1.2466401,,,
76,10.384958,1.2435596,,,
77,10.405151,1.2398756,,,
78,10.424503,1.2359604,,,
79,10.442612,1.2346449,,,
80,10.459958,1.2316974,,,
81,10.476921,1.2299461,,,
82,10.494485,1.2277625,,,
83,10.511389,1.2243952,,,
84,10.5277195,1.2233835,,,
85,10.543596,1.2206427,,,
86,10.5593,1.2215369,,,
87,10.575278,1.2187703,,,
88,10.5909,1.2164788,,,
89,10.605625,1.213506,,,
90,10.620089,1.2139463,,,
91,10.634913,1.2113078,,,
92,10.648554,1.2082181,,,
